epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.67378,1.25523,3.95557,1.52305,0.00814,0.57292,0.08347,0.05579,1.08334,3.72036,1.28022,1.428e-05,1.428e-05,1.428e-05
2,2.65635,1.31225,3.8795,1.56302,0.00861,0.57986,0.09336,0.05753,1.0556,3.71578,1.2584,3.51109e-05,3.51109e-05,3.51109e-05
3,3.47485,1.28681,3.8896,1.53604,0.00957,0.58681,0.09682,0.06763,1.03818,3.70948,1.23033,5.5235e-05,5.5235e-05,5.5235e-05
4,3.99922,1.22523,3.86066,1.4107,0.01005,0.59375,0.11417,0.08665,1.02312,3.70562,1.21335,7.46523e-05,7.46523e-05,7.46523e-05
5,4.49729,1.15486,3.77091,1.32324,0.01004,0.60938,0.1384,0.10708,1.01817,3.67952,1.20446,9.33626e-05,9.33626e-05,9.33626e-05
6,4.98867,1.1541,3.55894,1.3769,0.01049,0.61632,0.15534,0.11921,1.01479,3.65252,1.20901,0.000111366,0.000111366,0.000111366
7,5.47484,1.20821,3.4976,1.39722,0.01103,0.63889,0.18409,0.14164,1.01299,3.62656,1.21506,0.000128663,0.000128663,0.000128663
8,5.9605,1.08222,3.38603,1.28467,0.01193,0.67014,0.19297,0.15005,1.02338,3.62678,1.22849,0.000145253,0.000145253,0.000145253
9,6.44172,1.19799,3.29857,1.35152,0.01246,0.67014,0.18881,0.14853,1.04738,3.60167,1.24817,0.000161136,0.000161136,0.000161136
10,6.90835,1.14199,3.15544,1.31999,0.01327,0.70139,0.18848,0.14702,1.05458,3.58264,1.2494,0.000176312,0.000176312,0.000176312
11,7.34145,1.1366,2.93162,1.31746,0.01412,0.70139,0.15551,0.11864,1.0676,3.5556,1.26145,0.000190781,0.000190781,0.000190781
12,7.75872,1.15595,2.82427,1.35918,0.01512,0.73264,0.15753,0.12266,1.06717,3.53207,1.25771,0.000204543,0.000204543,0.000204543
13,8.20354,1.15773,2.65571,1.36911,0.01593,0.71875,0.16331,0.12805,1.07069,3.48238,1.26299,0.000217599,0.000217599,0.000217599
14,8.63034,1.20663,2.62758,1.3812,0.01628,0.71875,0.22027,0.18045,1.02988,3.45988,1.22425,0.000229947,0.000229947,0.000229947
15,9.06573,1.14416,2.44149,1.34231,0.01663,0.71875,0.26637,0.20914,1.06652,3.41547,1.24438,0.000241589,0.000241589,0.000241589
16,9.49652,1.14391,2.16133,1.31387,0.01769,0.75,0.27251,0.20712,1.07707,3.39335,1.25506,0.000252524,0.000252524,0.000252524
17,9.92585,1.13162,2.14887,1.34667,0.01708,0.71875,0.32594,0.24875,1.07377,3.38916,1.26148,0.000262752,0.000262752,0.000262752
18,10.3511,1.10464,2.01258,1.343,0.01611,0.6875,0.32678,0.25073,1.05843,3.39869,1.26734,0.000272273,0.000272273,0.000272273
19,10.7704,1.11438,1.88647,1.38386,0.01671,0.6875,0.32524,0.25067,1.08991,3.4479,1.31221,0.000281088,0.000281088,0.000281088
20,11.1874,1.04601,1.91025,1.28574,0.01691,0.6875,0.36177,0.26781,1.10934,3.50615,1.33972,0.000289195,0.000289195,0.000289195
21,11.613,1.09021,1.99434,1.30746,0.01775,0.6875,0.33558,0.24629,1.11405,3.5552,1.35625,0.000296596,0.000296596,0.000296596
22,12.0509,1.09113,1.88119,1.29324,0.01793,0.6875,0.27188,0.198,1.10348,3.56753,1.34609,0.000303289,0.000303289,0.000303289
23,12.4673,1.08206,1.79637,1.32795,0.01732,0.68576,0.2909,0.22912,1.07971,3.50999,1.31395,0.000309276,0.000309276,0.000309276
24,12.8836,1.06919,1.53535,1.29955,0.63642,0.14091,0.37187,0.27163,1.05887,3.45397,1.30278,0.000314556,0.000314556,0.000314556
25,13.305,1.04815,1.63603,1.30934,0.70334,0.12737,0.39509,0.28421,1.09889,3.39121,1.32818,0.000319129,0.000319129,0.000319129
26,13.7276,1.06317,1.57113,1.23921,0.99227,0.125,0.34101,0.25158,1.13993,3.3256,1.35212,0.000322996,0.000322996,0.000322996
27,14.1492,1.09899,1.41675,1.23947,0.6369,0.16532,0.3253,0.23599,1.15401,3.26455,1.37603,0.000326155,0.000326155,0.000326155
28,14.5729,1.06027,1.50628,1.26908,0.6368,0.21181,0.34038,0.24613,1.19635,3.09056,1.37485,0.000328608,0.000328608,0.000328608
29,14.9923,1.05766,1.41317,1.29867,0.6368,0.21181,0.34038,0.24613,1.19635,3.09056,1.37485,0.000330354,0.000330354,0.000330354
30,15.4089,1.05726,1.41291,1.26198,0.34745,0.2777,0.35833,0.24882,1.19293,2.88077,1.36617,0.000331392,0.000331392,0.000331392
31,15.8302,1.03674,1.31505,1.21945,0.53332,0.28968,0.36745,0.25788,1.15323,2.77244,1.34709,0.000331724,0.000331724,0.000331724
32,16.2515,1.01277,1.34004,1.26454,0.37791,0.30382,0.39256,0.2891,1.17155,2.74892,1.33996,0.00033135,0.00033135,0.00033135
33,16.6691,1.05629,1.38548,1.24008,0.37791,0.30382,0.39256,0.2891,1.17155,2.74892,1.33996,0.000330268,0.000330268,0.000330268
34,17.0954,1.01729,1.35669,1.25065,0.3757,0.29913,0.45464,0.33621,1.17954,2.73366,1.34157,0.000325227,0.000325227,0.000325227
35,17.5175,0.96997,1.22326,1.19332,0.4845,0.27778,0.38337,0.2995,1.15971,2.75429,1.3243,0.000313446,0.000313446,0.000313446
36,17.9415,0.98066,1.27314,1.26117,0.47259,0.27964,0.36206,0.26719,1.16883,2.78251,1.31884,0.000301665,0.000301665,0.000301665
37,18.3685,0.99286,1.15802,1.23058,0.47259,0.27964,0.36206,0.26719,1.16883,2.78251,1.31884,0.000289884,0.000289884,0.000289884
38,18.7917,0.95484,1.20659,1.15777,0.34634,0.27998,0.35094,0.2521,1.15371,2.79055,1.3081,0.000278103,0.000278103,0.000278103
39,19.2195,0.96816,1.21838,1.14505,0.47235,0.25098,0.32241,0.22809,1.16744,2.77372,1.30308,0.000266322,0.000266322,0.000266322
40,19.6516,0.95419,1.20626,1.1646,0.48895,0.25213,0.3337,0.22733,1.17128,2.74201,1.29951,0.000254541,0.000254541,0.000254541
41,20.0736,0.98131,1.19963,1.25412,0.48895,0.25213,0.3337,0.22733,1.17128,2.74201,1.29951,0.00024276,0.00024276,0.00024276
42,20.5025,0.91531,1.19587,1.15076,0.5091,0.23812,0.31859,0.2262,1.19871,2.72902,1.31445,0.000230979,0.000230979,0.000230979
43,20.9327,0.91388,1.21291,1.14657,0.86498,0.23611,0.31607,0.23107,1.1969,2.70522,1.32066,0.000219198,0.000219198,0.000219198
44,21.3539,0.92239,1.1827,1.19205,0.86748,0.23611,0.31794,0.23842,1.18212,2.66694,1.32755,0.000207417,0.000207417,0.000207417
45,21.7612,0.91726,1.08813,1.16274,0.86748,0.23611,0.31794,0.23842,1.18212,2.66694,1.32755,0.000195636,0.000195636,0.000195636
46,22.1755,0.92605,1.10631,1.17691,0.67178,0.25311,0.34838,0.26165,1.18094,2.64671,1.3327,0.000183855,0.000183855,0.000183855
47,22.5846,0.87933,1.12543,1.20966,0.68764,0.256,0.31651,0.23651,1.1853,2.63191,1.3397,0.000172074,0.000172074,0.000172074
48,23.0015,0.93319,1.19972,1.21091,0.51452,0.26376,0.32706,0.24637,1.1999,2.63813,1.35012,0.000160293,0.000160293,0.000160293
49,23.4073,0.91759,1.17765,1.21629,0.51452,0.26376,0.32706,0.24637,1.1999,2.63813,1.35012,0.000148512,0.000148512,0.000148512
50,23.8198,0.8669,1.08897,1.12129,0.49303,0.26389,0.33553,0.25867,1.21254,2.67389,1.35956,0.000136731,0.000136731,0.000136731
51,26.5464,0.83409,1.33332,1.1532,0.36517,0.27485,0.37884,0.26435,1.21682,2.66361,1.35441,0.00012495,0.00012495,0.00012495
52,27.0332,0.84323,1.31213,1.17531,0.36948,0.27778,0.37928,0.26749,1.22105,2.68117,1.35378,0.000113169,0.000113169,0.000113169
53,27.449,0.74622,1.16645,1.08355,0.36948,0.27778,0.37928,0.26749,1.22105,2.68117,1.35378,0.000101388,0.000101388,0.000101388
54,27.8664,0.77109,1.14016,1.11889,0.32377,0.40278,0.43915,0.27912,1.21889,2.71514,1.3435,8.9607e-05,8.9607e-05,8.9607e-05
55,28.2813,0.80233,1.17392,1.128,0.29415,0.38889,0.4355,0.28713,1.20499,2.72797,1.33201,7.7826e-05,7.7826e-05,7.7826e-05
56,28.7051,0.80986,1.22849,1.12221,0.34689,0.38139,0.42898,0.27101,1.21672,2.75528,1.33984,6.6045e-05,6.6045e-05,6.6045e-05
57,29.1162,0.77863,1.20054,1.13342,0.34689,0.38139,0.42898,0.27101,1.21672,2.75528,1.33984,5.4264e-05,5.4264e-05,5.4264e-05
58,29.5295,0.80698,1.12344,1.04478,0.30992,0.38889,0.42969,0.26636,1.22727,2.74931,1.35247,4.2483e-05,4.2483e-05,4.2483e-05
59,29.9484,0.79846,1.22829,1.11568,0.32182,0.38078,0.4239,0.26513,1.22231,2.7572,1.3558,3.0702e-05,3.0702e-05,3.0702e-05
60,30.3669,0.78619,1.14087,1.09497,0.31951,0.38164,0.42131,0.25155,1.21959,2.7346,1.35783,1.8921e-05,1.8921e-05,1.8921e-05
